Unnamed: 0,Diagnosis_cell_type_unified,PLATFORM_RNA,RNASEQ_SOURCE,TUMOR_NORMAL,SAMPLE_NAME,COHORT_LABEL,RNA_BATCH,Diagnosis_cell_type,Platform_general,Diagnosis_cell_type_general,Major_group,Cohort_general
GSM1574195-PUB_DLBCL_GSE64555,Diffuse_Large_B_Cell_Lymphoma,GPL570,FFPE,Tumor,GSM1574195-PUB_DLBCL_GSE64555,PUB_DLBCL_GSE64555,GPL570_FFPE_Unknown,Diffuse_Large_B_Cell_Lymphoma,GPL570,Diffuse_Large_B_Cell_Lymphoma,Diffuse_Large_B_Cell_Lymphoma,PUB_DLBCL_GSE64555
GSM1574196-PUB_DLBCL_GSE64555,Diffuse_Large_B_Cell_Lymphoma,GPL570,FFPE,Tumor,GSM1574196-PUB_DLBCL_GSE64555,PUB_DLBCL_GSE64555,GPL570_FFPE_Unknown,Diffuse_Large_B_Cell_Lymphoma,GPL570,Diffuse_Large_B_Cell_Lymphoma,Diffuse_Large_B_Cell_Lymphoma,PUB_DLBCL_GSE64555
GSM1574197-PUB_DLBCL_GSE64555,Diffuse_Large_B_Cell_Lymphoma,GPL570,FFPE,Tumor,GSM1574197-PUB_DLBCL_GSE64555,PUB_DLBCL_GSE64555,GPL570_FFPE_Unknown,Diffuse_Large_B_Cell_Lymphoma,GPL570,Diffuse_Large_B_Cell_Lymphoma,Diffuse_Large_B_Cell_Lymphoma,PUB_DLBCL_GSE64555
GSM1574198-PUB_DLBCL_GSE64555,Diffuse_Large_B_Cell_Lymphoma,GPL570,FFPE,Tumor,GSM1574198-PUB_DLBCL_GSE64555,PUB_DLBCL_GSE64555,GPL570_FFPE_Unknown,Diffuse_Large_B_Cell_Lymphoma,GPL570,Diffuse_Large_B_Cell_Lymphoma,Diffuse_Large_B_Cell_Lymphoma,PUB_DLBCL_GSE64555
GSM1574199-PUB_DLBCL_GSE64555,Diffuse_Large_B_Cell_Lymphoma,GPL570,FFPE,Tumor,GSM1574199-PUB_DLBCL_GSE64555,PUB_DLBCL_GSE64555,GPL570_FFPE_Unknown,Diffuse_Large_B_Cell_Lymphoma,GPL570,Diffuse_Large_B_Cell_Lymphoma,Diffuse_Large_B_Cell_Lymphoma,PUB_DLBCL_GSE64555
GSM1574200-PUB_DLBCL_GSE64555,Diffuse_Large_B_Cell_Lymphoma,GPL570,FFPE,Tumor,GSM1574200-PUB_DLBCL_GSE64555,PUB_DLBCL_GSE64555,GPL570_FFPE_Unknown,Diffuse_Large_B_Cell_Lymphoma,GPL570,Diffuse_Large_B_Cell_Lymphoma,Diffuse_Large_B_Cell_Lymphoma,PUB_DLBCL_GSE64555
GSM1574201-PUB_DLBCL_GSE64555,Diffuse_Large_B_Cell_Lymphoma,GPL570,FFPE,Tumor,GSM1574201-PUB_DLBCL_GSE64555,PUB_DLBCL_GSE64555,GPL570_FFPE_Unknown,Diffuse_Large_B_Cell_Lymphoma,GPL570,Diffuse_Large_B_Cell_Lymphoma,Diffuse_Large_B_Cell_Lymphoma,PUB_DLBCL_GSE64555
GSM1574202-PUB_DLBCL_GSE64555,Diffuse_Large_B_Cell_Lymphoma,GPL570,FFPE,Tumor,GSM1574202-PUB_DLBCL_GSE64555,PUB_DLBCL_GSE64555,GPL570_FFPE_Unknown,Diffuse_Large_B_Cell_Lymphoma,GPL570,Diffuse_Large_B_Cell_Lymphoma,Diffuse_Large_B_Cell_Lymphoma,PUB_DLBCL_GSE64555
GSM1574203-PUB_DLBCL_GSE64555,Diffuse_Large_B_Cell_Lymphoma,GPL570,FFPE,Tumor,GSM1574203-PUB_DLBCL_GSE64555,PUB_DLBCL_GSE64555,GPL570_FFPE_Unknown,Diffuse_Large_B_Cell_Lymphoma,GPL570,Diffuse_Large_B_Cell_Lymphoma,Diffuse_Large_B_Cell_Lymphoma,PUB_DLBCL_GSE64555
GSM1574204-PUB_DLBCL_GSE64555,Diffuse_Large_B_Cell_Lymphoma,GPL570,FFPE,Tumor,GSM1574204-PUB_DLBCL_GSE64555,PUB_DLBCL_GSE64555,GPL570_FFPE_Unknown,Diffuse_Large_B_Cell_Lymphoma,GPL570,Diffuse_Large_B_Cell_Lymphoma,Diffuse_Large_B_Cell_Lymphoma,PUB_DLBCL_GSE64555
