gene,alias,gene_group,cell_type,pathway,tme_subtype,prognostic_significance,source_article,provenance,is_housekeeping
AICDA,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
CCND2,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
CDK4,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
CENPF,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
GINS2,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
MCM2,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
MCM6,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
MKI67,Ki-67,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
MYBL1,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
PCNA,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
RRM2,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
TOP2A,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
TYMS,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
UBE2C,,FL2025_C1_DZ_proliferative,centroblast (DZ),proliferation,none,adverse (PFS),"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
BCL2,,FL2025_C2_LZ_anergy,centrocyte (LZ),apoptosis,none,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
CD79A,,FL2025_C2_LZ_anergy,centrocyte (LZ),apoptosis,none,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
CD83,,FL2025_C2_LZ_anergy,centrocyte (LZ),apoptosis,none,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
CXCR4,,FL2025_C2_LZ_anergy,centrocyte (LZ),apoptosis,none,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
FAS,CD95,FL2025_C2_LZ_anergy,centrocyte (LZ),apoptosis,none,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
FCER2,CD23,FL2025_C2_LZ_anergy,centrocyte (LZ),apoptosis,none,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
IGHD,,FL2025_C2_LZ_anergy,centrocyte (LZ),apoptosis,none,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
IGHM,,FL2025_C2_LZ_anergy,centrocyte (LZ),apoptosis,none,none,"Xochelli et al. 2025 Leukemia, doi:10.1038/s41375-025-02603-9",repo_panel,False
